Date,Open,High,Low,Close,Adj Close,Volume
2017-04-04,41.049999,41.180000,40.730000,41.029999,37.801044,2565500
2017-04-05,41.779999,41.980000,40.720001,40.750000,37.543079,3463100
2017-04-06,41.110001,41.419998,40.799999,40.980000,37.754982,5023200
2017-04-07,40.080002,41.130001,40.000000,40.610001,37.414101,3305600
2017-04-10,40.889999,41.060001,40.700001,40.869999,37.653637,2822900
2017-04-11,41.860001,41.900002,40.730000,41.439999,38.178780,4012600
2017-04-12,39.990002,40.090000,39.070000,39.279999,36.188766,5776600
2017-04-13,39.150002,39.400002,38.840000,38.939999,35.875523,2975000
2017-04-17,39.200001,39.220001,38.630001,39.009998,35.940010,2345600
2017-04-18,38.630001,38.939999,38.230000,38.619999,35.580704,4297400
2017-04-19,39.310001,39.369999,38.450001,38.520000,35.488575,3513800
2017-04-20,39.259998,39.759998,39.130001,39.570000,36.455944,3470300
2017-04-21,39.840000,39.849998,39.320000,39.529999,36.419090,2973600
2017-04-24,40.080002,40.279999,39.840000,40.110001,36.953445,3008300
2017-04-25,40.139999,40.419998,39.880001,40.340000,37.165348,2695600
2017-04-26,39.509998,40.430000,39.500000,40.080002,36.925812,2249400
2017-04-27,39.869999,39.869999,39.049999,39.529999,36.419090,2789300
2017-04-28,40.110001,40.160000,39.770000,39.820000,36.686268,1575000
2017-05-01,39.959999,40.150002,39.720001,40.070000,36.916595,1775000
2017-05-02,39.590000,39.889999,39.570000,39.840000,36.704693,3097500
2017-05-03,38.770000,38.910000,38.259998,38.369999,35.350376,3225300
2017-05-04,37.939999,38.189999,37.669998,38.070000,35.073990,3830600
2017-05-05,38.590000,39.099998,38.400002,38.900002,35.838673,3220600
2017-05-08,38.349998,38.509998,38.169998,38.470001,35.442513,2181300
2017-05-09,38.919998,39.080002,38.369999,38.480000,35.451725,4299300
2017-05-10,39.020000,39.090000,38.720001,38.810001,35.755753,2094200
2017-05-11,38.939999,38.959999,38.639999,38.770000,35.718903,2243100
2017-05-12,38.500000,38.689999,38.430000,38.689999,35.645199,1582400
